film,film_id
AVENGERS: HỒI KẾT,1
JOHN WICK 3: CHUẨN BỊ CHIẾN TRANH (C18),2
NGÔI ĐỀN KỲ QUÁI (C18),3
VÔ GIAN ĐẠO (C18),4
MẸ MA THAN KHÓC LA LLORONA (C18),5
POKÉMON: THÁM TỬ PIKACHU (C13),6
ALADDIN (LT) (G),7
THẰNG EM LÝ TƯỞNG,8
ƯỚC HẸN MÙA THU,9
ALADDIN (PD) (G),10
QUÝ CÔ LỪA ĐẢO,11
CHÚA TỂ GODZILLA: ĐẾ VƯƠNG BẤT TỬ (C13),12
(LT) DORAEMON: NOBITA VÀ MẶT TRĂNG PHIÊU LƯU KÝ (G),13
LẬT MẶT: NHÀ CÓ KHÁCH,14
VỢ BA,15
NỤ HÔN MA QUÁI (C18),16
(PĐ) DORAEMON: NOBITA VÀ MẶT TRĂNG PHIÊU LƯU KÝ (G),17
CORGI: NHỮNG CHÚ CHÓ HOÀNG GIA (LT),18
CÀ CHỚN ANH ĐỪNG ĐI,19
